timestamp,open,high,low,close,volume
01-06-2022,2445.12,2503.58,2412.445,2433.68,6376449
31-05-2022,2325.6,2439.8899,2313.5,2404.19,7231708
27-05-2022,2271,2303.74,2252.56,2302.93,4683008
26-05-2022,2159.4,2253.3099,2149.07,2221.55,4650130
25-05-2022,2073.11,2163.4999,2073,2135.5,4656005
24-05-2022,2080.5,2108,2025.2,2082,5146734
23-05-2022,2169.22,2176.375,2079,2151.14,5389868
20-05-2022,2191.37,2197.9599,2100.1868,2151.82,4975032
19-05-2022,2125.61,2200.68,2123.8581,2146.38,4407127
18-05-2022,2228.79,2257.06,2124.975,2142.25,5418959
17-05-2022,2265.5,2316,2225.53,2307.37,3822387
16-05-2022,2262,2279.85,2207.0827,2216.21,3728287
13-05-2022,2181.38,2263.68,2156,2261.1,4684228
12-05-2022,2055,2215.615,2048.11,2138.61,6601257
11-05-2022,2162.07,2203.12,2088.57,2107.44,5485182
10-05-2022,2225,2252.85,2143.42,2177.18,5271691
09-05-2022,2226.25,2280,2159.14,2175.78,6406219
06-05-2022,2297,2381.01,2261.625,2295.45,6212995
05-05-2022,2460,2469.98,2301.45,2328.14,7219561
04-05-2022,2472,2520,2383.66,2518.57,5508760
03-05-2022,2481.07,2524.41,2456.5,2485.07,3956668
02-05-2022,2448.02,2493.365,2367.5,2490,7439449
29-04-2022,2596.98,2615.22,2432.5,2485.63,13633086
28-04-2022,2843.56,2918.75,2806,2891.93,5865847
27-04-2022,2803.83,2838.97,2715.67,2763.34,3566815
26-04-2022,2896,2897.115,2778.59,2787.82,3781514
25-04-2022,2880.46,2924.43,2846.1309,2921.48,3093749
22-04-2022,2965,2992.3,2873.9501,2887,3653929
21-04-2022,3094.28,3134.76,2951.79,2965.92,3198466
20-04-2022,3152.05,3152.05,3072.07,3079.96,2958600
19-04-2022,3040.59,3172.98,3031.01,3162.31,2746321
18-04-2022,3030.47,3080.79,3005.01,3055.7,2325676
14-04-2022,3107.8,3117.94,3029.435,3034.13,2579907
13-04-2022,3000.37,3120.5,2992,3110.82,2669544
12-04-2022,3073.85,3101.98,3007.66,3015.75,2758872
11-04-2022,3054.26,3082.7299,3010.69,3022.44,2605617
08-04-2022,3135,3147.37,3084.615,3089.21,2300083
07-04-2022,3168,3201.58,3090.23,3155.69,3406839
06-04-2022,3233.01,3244,3145.09,3175.12,3952788
05-04-2022,3354.83,3362.21,3265.3201,3281.1,2619553
04-04-2022,3282.5,3367.89,3264.11,3366.93,2500398
01-04-2022,3282.99,3316.54,3246.39,3271.2,2854475
31-03-2022,3328.895,3329.9,3259.07,3259.95,2998289
30-03-2022,3370.19,3379.01,3310,3326.02,2808363
29-03-2022,3407.68,3416.63,3357.37,3386.3,3307680
28-03-2022,3299.5,3380.75,3298,3379.81,2992691
25-03-2022,3280,3307.37,3245,3295.47,2355611
24-03-2022,3274.99,3282.37,3201,3272.99,2839903
23-03-2022,3274.1,3327.4,3253.74,3268.16,2790593
22-03-2022,3236.11,3323.34,3233.98,3297.78,3147275
21-03-2022,3222.415,3261.68,3191.06,3229.83,3283142
18-03-2022,3136.26,3231.88,3120.22,3225.01,5063616
17-03-2022,3052.81,3149.97,3042.8,3144.78,3646742
16-03-2022,2970,3063,2947.07,3062.08,4247884
15-03-2022,2857,2959.7,2840,2947.33,3779230
14-03-2022,2919.62,2949,2817.68,2837.06,3704305
11-03-2022,2991.49,2993.5,2907.38,2910.49,3445028
10-03-2022,2913.7,2973.485,2879.56,2936.35,6753145
09-03-2022,2790,2805,2736.56,2785.58,4132833
08-03-2022,2733.67,2813.99,2671.45,2720.29,4583129
07-03-2022,2908.87,2921.89,2748.33,2749.06,4346693
